DisNo.,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Location,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Affected,"Total Damage, Adjusted ('000 US$)",Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium"
2015-0448-NGA,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,NGA,Nigeria,Sub-Saharan Africa,Africa,"Kano, Katsina, Sokoto, Kebbi, Zamfara, Kaduna, Jigawa, Adamawa, Yobe, Gombe, Bauchi, Anambra, Benue, Delta, Niger, Ondo, Taraba provinces",No,No,No,,186816.02,Km2,9.953,11.528,,2015.0,9.0,5.0,2015.0,9.0,24.0,100420.0,32139.0,,
2015-0459-USA,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,USA,United States of America,Northern America,Americas,"South Carolina, North Carolina",No,No,No,,,Kph,33.503,-80.493,,2015.0,10.0,1.0,2015.0,10.0,13.0,800.0,2571138.0,,
2015-0462-PHL,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,Asia,"Camarines Norte, Catanduanes districts (Region V (Bicol region) province), Cordillera Administrative region (CAR), National Capital region (NCR) province, Region I (Ilocos region), Region II (Cagayan Valley), Region III (Central Luzon), Region IV-A (Calabarzon) provinces",No,No,Yes,,210.0,Kph,16.691,121.24,,2015.0,10.0,14.0,2015.0,10.0,20.0,2898590.0,271236.0,,
2015-0470-MEX,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,MEX,Mexico,Latin America and the Caribbean,Americas,"Manzanillo district (Colima province), Coahuila, Nuevo leon, Tamaulipas provinces",No,No,No,,270.0,Kph,28.381,-101.772,,2015.0,10.0,22.0,2015.0,10.0,28.0,15000.0,1058023.0,,
2015-0504-IND,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),IND,India,Southern Asia,Asia,"Chittoor, Cuddapah, Prakasam, Nellore districts (Andhra Pradesh province), Chennai, Cuddalore, Nagapattinam, Kancheepuram, Thiruvallur, Villupuram districts (Tamil Nadu province), Puducherry province",No,No,Yes,,93202.05,Km2,11.828,78.855,,2015.0,11.0,8.0,2015.0,12.0,4.0,1801000.0,2828252.0,,
2015-0512-KGZ,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,KGZ,Kyrgyzstan,Central Asia,Asia,"Chong-Alay, Alay, Kara-Suu, Kara-Kulja, Aravan districts (Osh province)",No,No,No,,5.6,Moment Magnitude,40.376,73.204,,2015.0,11.0,17.0,2015.0,11.0,17.0,16780.0,15427.0,,
2015-0528-TJK,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,TJK,Tajikistan,Central Asia,Asia,"Murgabskiy, Rushanskiy, Shugnanskiy, Vanchskiy, Kalay-Humbskiy districts (Badakhshoni Kuni province)",Yes,No,No,,7.2,Moment Magnitude,38.211,72.78,,2015.0,12.0,7.0,2015.0,12.0,7.0,7976.0,6428.0,,
2015-0565-USA,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),USA,United States of America,Northern America,Americas,"Mississippi, Missouri, Kentucky, Tennessee, Arkansas, Alabama, Illinois, Indiana, Louisiana provinces",No,No,No,,,Km2,35.666,-91.083,Mississippi river,2015.0,12.0,15.0,2016.0,1.0,6.0,4050.0,771341.0,,
2015-0608-TLS,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,TLS,Timor-Leste,South-eastern Asia,Asia,Dili province,No,No,No,,6.5,Moment Magnitude,-8.3381,124.8754,,2015.0,11.0,4.0,2015.0,11.0,4.0,2003.0,5142.0,,
2016-0002-IND,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,IND,India,Southern Asia,Asia,"Guwahati city (Kamrup district, Assam province), East Imphal, West Imphal, Senapati, Thoubal, Bishnupur, Tamenglong districts (Manipur province)",No,No,No,,6.7,Moment Magnitude,24.804,93.65,,2016.0,1.0,3.0,2016.0,1.0,3.0,10808.0,95216.0,,
2016-0032-ECU,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,ECU,Ecuador,Latin America and the Caribbean,Americas,"Guayas, Bolívar, Esmeraldas, Cotopaxi, Los Ríos, Manabí, Imbabura, Santo Domingo de los Tsáchilas, El Oro provinces",No,No,No,,69541.98,Km2,-0.786,-79.701,"Chone, Esmeraldas, Guayaqui",2016.0,1.0,1.0,2016.0,1.0,25.0,10000.0,12696.0,,
2016-0033-BRA,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),BRA,Brazil,Latin America and the Caribbean,Americas,"Arapongas, Rolândia, Londrina districts (Parana province), Sao Paulo province, Aquidauana, Miranda, Dois Irmãos do Buriti, Taquarussu districts (Mato Grosso do Sul province)",No,No,Yes,,110514.83,Km2,-17.956,-56.442,,2016.0,1.0,9.0,2016.0,1.0,15.0,50500.0,126955.0,,
